#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NOAA/GOES
#     SOURCE_NAME                     GOES13
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       1min
#     DESCRIPTOR                      EPS-MAGED>Energetic Particle Sensor - Magnetospheric Electron Detector
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     DATA_VERSION                    01
#     PI_NAME                         NOAA NGDC and SWPC
#     PI_AFFILIATION                  sem.goes@noaa.gov
#     TEXT                            Data has been recast from original NOAA netCDF files by SPDF. DATA CAVEATS/WARNINGS:                   
#     TEXT                             The MagED data may not be accurate at times due to instrument limitations such                        
#     TEXT                             as dead time and proton contamination. Every effort is made to reduce these                           
#     TEXT                             effects but uncertainties are inevitable. Additionally, the detectors may suffer                      
#     TEXT                             from intermittent noise problems. Please contact Juan V. Rodriguez (sem.goes@noaa.gov)                
#                                      with questions or concerns.                                                                           
#     INSTRUMENT_TYPE                 Particles (space)
#     MISSION_GROUP                   GOES
#     LOGICAL_SOURCE                  goes13_eps-maged_1min
#     LOGICAL_FILE_ID                 goes13_eps-maged_1min_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      GOES-13 EPS (Energetic Particle Sensor) MagED (Magnetospheric Electron Detector)                       
#                                      1 minute electron fluxes 40-475 keV                                                                   
#     GENERATION_DATE                 Wed Jul  1 10:18:17 2015
#     MODS                            Final release updates 8/23/2013 REM
#     LINK_TEXT                       Primary GOES
#     LINK_TITLE                      archive and instrument documentation at NOAA National Geophysical Data Center                          
#                                      (NGDC)                                                                                                
#     HTTP_LINK                       http://www.ngdc.noaa.gov/stp/satellite/goes/index.html
#     CONVENTIONS                     GOES Space Weather
#     TITLE                           GOES Magnetospheric Electron Detector
#     INSTITUTION                     NOAA
#     SOURCE                          Satellite Insitu Observations
#     SATELLITE_ID                    GOES-13
#     INSTRUMENT                      Magnetospheric Electron Detector
#     PROCESS_TYPE                    Time averaged
#     PROCESS_LEVEL                   level 2
#     SAMPLE_TIME                     1
#     SAMPLE_UNIT                     minutes
#     CREATION_DATE                   2015-07-01 07:50:50.865 UTC
#     START_DATE                      2015-06-01 00:00:00.000 UTC
#     END_DATE                        2015-06-30 23:59:00.000 UTC
#     RECORDS_PRESENT                 43200
#     ORIGINATING_AGENCY              DOC/NOAA/NCEP/NWS/SWPC
#     ARCHIVING_AGENCY                DOC/NOAA/NESDIS/NGDC
#     SPASE_DATASETRESOURCEID         spase://NOAA/NumericalData/GOES/13/EPS/MAGED/19ME15/PT1M
#     CDAWEB_PARENTS                  goes13_eps-maged_1min_00000000_v01
#                                     goes13_eps-maged_1min_20150601_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Default time
#  2. Average Electron Flux at 40 keV for 9 directions ordered north to south (101 to 109) or south to north depending on yaw state in time-series plots; corrected for dead-time errors and other contamination sources
#
EPOCH                                      ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV                ELECFLUX_40KEV
21-06-2015 00:18:00.000.000                       15749.7                       17052.2                       16470.2                       16802.5                       15796.6                       16971.1                       6140.65                       13052.6                       15015.1
21-06-2015 00:19:00.000.000                       15617.0                       17085.8                       16311.0                       16611.0                       15733.3                       16966.1                       6150.82                       13010.0                       14927.8
21-06-2015 00:20:00.000.000                       15548.3                       17018.6                       16278.7                       16581.4                       15710.1                       16938.0                       6077.39                       13010.4                       14884.1
21-06-2015 00:21:00.000.000                       15551.4                       17047.0                       16326.7                       16671.7                       15573.2                       16906.1                       6128.07                       13008.7                       14946.7
21-06-2015 00:22:00.000.000                       15661.4                       17021.3                       16307.5                       16692.8                       15665.9                       16968.6                       6109.22                       13055.8                       14887.3
21-06-2015 00:23:00.000.000                       15683.4                       17021.4                       16417.7                       16609.1                       15687.8                       16936.2                       6129.09                       13011.2                       14951.8
21-06-2015 00:24:00.000.000                       15659.1                       16988.2                       16330.2                       16647.8                       15620.5                       16935.5                       6161.71                       13050.2                       14883.6
21-06-2015 00:25:00.000.000                       15596.5                       16993.3                       16389.7                       16665.2                       15669.9                       16937.3                       6152.65                       12965.7                       14907.2
21-06-2015 00:26:00.000.000                       15621.3                       17120.6                       16446.3                       16750.1                       15712.9                       16938.4                       6173.54                       13056.3                       14972.5
21-06-2015 00:27:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:28:00.000.000                       15714.6                       16954.6                       16461.1                       16718.1                       15694.9                       16973.1                       6199.79                       12920.4                       14940.1
21-06-2015 00:29:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:30:00.000.000                       15608.4                       16930.1                       16333.4                       16662.5                       15568.0                       16873.7                       6187.14                       12929.4                       14879.2
21-06-2015 00:31:00.000.000                       15680.3                       17053.1                       16329.0                       16622.0                       15662.7                       16938.8                       6277.58                       13052.9                       14926.1
21-06-2015 00:32:00.000.000                       15623.8                       17017.3                       16424.8                       16760.4                       15664.9                       16937.9                       6266.46                       12947.2                       14973.5
21-06-2015 00:33:00.000.000                       15763.7                       17022.3                       16354.2                       16720.4                       15770.7                       16889.7                       6267.36                       13070.9                       14863.5
21-06-2015 00:34:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:35:00.000.000                       15433.5                       16802.8                       16036.1                       16378.8                       15377.2                       16672.9                       6212.02                       12851.2                       14828.4
21-06-2015 00:36:00.000.000                       15437.1                       16956.5                       16228.0                       16319.8                       15586.7                       16943.6                       6239.38                       12942.7                       14860.9
21-06-2015 00:37:00.000.000                       15447.1                       16748.3                       15927.5                       16302.0                       15216.2                       16689.5                       6190.19                       12863.9                       14739.3
21-06-2015 00:38:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:39:00.000.000                       15374.1                       16768.3                       15937.5                       16149.3                       15281.3                       16601.3                       6228.50                       12870.0                       14785.7
21-06-2015 00:40:00.000.000                       15436.7                       16926.5                       15965.7                       16314.1                       15379.3                       16742.8                       6163.42                       12988.6                       14924.8
21-06-2015 00:41:00.000.000                       15378.8                       16874.4                       16076.0                       16164.8                       15273.8                       16587.7                       6182.71                       12856.9                       14837.0
21-06-2015 00:42:00.000.000                       15327.2                       16759.6                       15961.0                       16083.4                       15264.6                       16632.1                       6207.82                       12878.2                       14813.5
21-06-2015 00:43:00.000.000                       15386.1                       16849.0                       16023.3                       16147.8                       15393.1                       16686.6                       6195.11                       12824.2                       14739.2
21-06-2015 00:44:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:45:00.000.000                       15327.6                       16869.8                       15831.9                       16147.0                       15222.7                       16718.1                       6251.50                       12899.7                       14883.9
21-06-2015 00:46:00.000.000                       15105.4                       16750.5                       15814.6                       16028.6                       15108.5                       16403.7                       6215.85                       12890.2                       14854.2
21-06-2015 00:47:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:48:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:49:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:50:00.000.000                       14939.3                       16251.1                       15521.7                       15731.1                       14869.6                       16087.6                       6186.15                       12816.2                       14679.2
21-06-2015 00:51:00.000.000                       14950.6                       16365.7                       15496.6                       15795.6                       14871.8                       16050.9                       6085.62                       12860.6                       14751.2
21-06-2015 00:52:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:53:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 00:54:00.000.000                       14681.4                       15989.3                       15163.2                       15448.4                       14511.5                       15687.1                       6128.62                       12593.4                       14432.5
21-06-2015 00:55:00.000.000                       14712.8                       16004.5                       15247.6                       15496.5                       14669.2                       15741.2                       6051.61                       12696.3                       14608.4
21-06-2015 00:56:00.000.000                       14703.6                       15942.9                       15199.5                       15562.9                       14546.1                       15624.0                       6119.75                       12668.2                       14467.2
21-06-2015 00:57:00.000.000                       14797.1                       15902.4                       15053.0                       15475.8                       14510.6                       15558.3                       6185.36                       12546.0                       14459.3
21-06-2015 00:58:00.000.000                       14562.7                       15822.8                       14893.5                       15300.9                       14310.3                       15513.3                       6045.90                       12514.1                       14197.5
21-06-2015 00:59:00.000.000                       14510.1                       15708.6                       14884.6                       15376.3                       14312.5                       15438.0                       6068.98                       12417.9                       14186.7
21-06-2015 01:00:00.000.000                       14420.4                       15617.2                       14853.8                       15184.1                       14292.3                       15360.1                       6076.28                       12457.3                       14238.3
21-06-2015 01:01:00.000.000                       14413.4                       15569.2                       14812.8                       15109.4                       14246.3                       15408.9                       6084.93                       12433.3                       14278.7
21-06-2015 01:02:00.000.000                       14398.6                       15573.3                       14835.2                       15076.2                       14246.6                       15358.3                       6106.00                       12414.9                       14214.0
21-06-2015 01:03:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 01:04:00.000.000                       14287.9                       15472.9                       14720.6                       14990.5                       14090.2                       15017.2                       6081.58                       12506.0                       14182.1
21-06-2015 01:05:00.000.000                       14155.0                       15394.9                       14482.3                       14856.5                       14048.3                       15029.3                       6043.58                       12326.0                       14147.9
21-06-2015 01:06:00.000.000                       14269.2                       15363.3                       14516.1                       14859.8                       13832.9                       15098.2                       6072.16                       12348.2                       14214.2
21-06-2015 01:07:00.000.000                       14136.6                       15462.9                       14561.8                       14938.7                       14016.8                       15019.3                       6031.67                       12344.5                       14128.5
21-06-2015 01:08:00.000.000                       14129.8                       15436.4                       14446.4                       14921.6                       13864.0                       14990.7                       6077.10                       12305.5                       14216.9
21-06-2015 01:09:00.000.000                       13974.5                       15079.6                       14393.7                       14818.3                       13976.0                       14922.9                       6097.29                       12268.1                       14074.3
21-06-2015 01:10:00.000.000                       13960.4                       15185.1                       14360.3                       14737.7                       13729.4                       14880.3                       6085.12                       12245.3                       14066.6
21-06-2015 01:11:00.000.000                       14029.7                       15120.0                       14248.3                       14850.5                       13774.3                       14974.1                       6036.31                       12273.4                       13991.3
21-06-2015 01:12:00.000.000                       13997.2                       15183.2                       14184.4                       14760.0                       13812.7                       14817.0                       6082.74                       12238.9                       13896.6
21-06-2015 01:13:00.000.000                       14042.6                       15198.5                       14284.4                       14812.8                       13869.4                       14871.6                       6099.20                       12258.6                       14041.7
21-06-2015 01:14:00.000.000                       13988.9                       15081.6                       14215.9                       14725.4                       13839.3                       14830.1                       6096.45                       12239.1                       14005.4
21-06-2015 01:15:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 01:16:00.000.000                       13933.9                       15093.7                       14245.1                       14622.5                       13727.0                       14736.8                       6113.30                       12215.0                       13867.1
21-06-2015 01:17:00.000.000                       13918.1                       15004.5                       14187.9                       14586.0                       13722.6                       14814.2                       6099.03                       12136.1                       14082.7
21-06-2015 01:18:00.000.000                       13839.2                       15103.6                       14215.2                       14642.7                       13668.9                       14741.5                       6088.04                       12259.9                       14025.3
21-06-2015 01:19:00.000.000                       13957.5                       15133.3                       14284.3                       14612.0                       13783.3                       14785.7                       6120.06                       12214.7                       13995.7
21-06-2015 01:20:00.000.000                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0                      -99999.0
21-06-2015 01:21:00.000.000                       13842.6                       15038.7                       14196.9                       14580.2                       13735.2                       14723.6                       6148.50                       12134.1                       14004.0
21-06-2015 01:22:00.000.000                       13802.6                       14977.5                       14172.5                       14461.8                       13741.8                       14740.4                       6164.25                       12193.9                       13887.4
21-06-2015 01:23:00.000.000                       13915.4                       15065.9                       14264.0                       14724.4                       13805.3                       14742.5                       6151.09                       12084.6                       13909.2
21-06-2015 01:24:00.000.000                       14002.5                       15088.9                       14350.2                       14746.6                       13851.4                       14877.4                       6155.48                       12258.7                       14041.1
21-06-2015 01:25:00.000.000                       14162.4                       15188.4                       14258.7                       14690.1                       13885.3                       14877.1                       6204.11                       12303.1                       14110.1
21-06-2015 01:26:00.000.000                       13985.0                       15199.5                       14286.1                       14747.9                       13874.3                       14855.9                       6207.94                       12283.5                       14132.8
21-06-2015 01:27:00.000.000                       14113.1                       15201.1                       14374.2                       14723.3                       13871.3                       14855.2                       6173.96                       12258.5                       14000.0
21-06-2015 01:28:00.000.000                       14095.3                       15316.7                       14324.2                       14768.9                       13885.3                       14962.8                       6173.04                       12304.6                       14068.5
21-06-2015 01:29:00.000.000                       14116.5                       15331.7                       14375.5                       14857.9                       13874.1                       14859.2                       6262.24                       12259.1                       14194.9
21-06-2015 01:30:00.000.000                       14181.8                       15398.4                       14506.2                       14775.5                       14028.7                       14968.9                       6218.07                       12351.5                       14172.5
21-06-2015 01:31:00.000.000                       14138.9                       15481.7                       14511.7                       14801.2                       13994.7                       14856.3                       6227.14                       12303.9                       14250.4
21-06-2015 01:32:00.000.000                       14203.6                       15513.2                       14640.0                       14861.4                       14117.7                       14992.3                       6316.29                       12306.1                       14309.5
21-06-2015 01:33:00.000.000                       14249.6                       15424.2                       14639.8                       14929.8                       14031.4                       15031.7                       6251.06                       12347.6                       14267.3
21-06-2015 01:34:00.000.000                       14246.7                       15514.4                       14727.0                       14907.8                       14162.0                       15274.7                       6340.19                       12330.5                       14355.1
21-06-2015 01:35:00.000.000                       14351.6                       15449.8                       14690.0                       15093.9                       14165.8                       15195.8                       6341.69                       12284.6                       14287.9
21-06-2015 01:36:00.000.000                       14317.1                       15600.5                       14749.2                       15040.2                       14229.9                       15317.7                       6339.60                       12416.4                       14330.1
21-06-2015 01:37:00.000.000                       14274.9                       15667.1                       14858.1                       15126.7                       14208.8                       15318.8                       6349.60                       12326.0                       14441.9
21-06-2015 01:38:00.000.000                       14504.7                       15644.5                       14833.7                       15309.1                       14294.2                       15407.7                       6344.85                       12370.9                       14438.1
21-06-2015 01:39:00.000.000                       14379.6                       15577.9                       14880.8                       15148.5                       14253.3                       15429.4                       6394.97                       12393.9                       14485.7
21-06-2015 01:40:00.000.000                       14426.2                       15777.9                       14859.9                       15169.7                       14230.4                       15426.3                       6384.73                       12458.0                       14551.5
21-06-2015 01:41:00.000.000                       14525.5                       15790.4                       14902.3                       15244.2                       14294.1                       15431.4                       6414.87                       12456.3                       14565.4
21-06-2015 01:42:00.000.000                       14581.5                       15711.6                       14903.3                       15411.8                       14340.1                       15472.7                       6413.61                       12549.0                       14577.0
21-06-2015 01:43:00.000.000                       14648.4                       15845.5                       14992.8                       15364.5                       14363.1                       15517.8                       6448.59                       12503.9                       14730.4
21-06-2015 01:44:00.000.000                       14601.5                       15845.2                       14967.4                       15344.2                       14317.8                       15497.2                       6447.76                       12483.2                       14645.2
21-06-2015 01:45:00.000.000                       14717.6                       15987.1                       15030.8                       15414.8                       14379.6                       15497.7                       6457.53                       12667.8                       14753.8
21-06-2015 01:46:00.000.000                       14715.4                       15909.9                       15080.6                       15501.6                       14451.4                       15520.6                       6492.26                       12704.0                       14774.1
21-06-2015 01:47:00.000.000                       14823.4                       15955.4                       15036.6                       15524.1                       14560.3                       15518.1                       6470.81                       12659.1                       14751.2
21-06-2015 01:48:00.000.000                       14849.5                       16002.0                       15180.9                       15500.8                       14654.8                       15601.4                       6533.27                       12686.8                       14737.0
21-06-2015 01:49:00.000.000                       14778.2                       15999.9                       15127.5                       15412.3                       14537.0                       15518.9                       6481.62                       12768.4                       14842.9
21-06-2015 01:50:00.000.000                       14825.7                       15931.1                       15172.2                       15524.9                       14580.3                       15738.4                       6557.97                       12746.0                       14841.9
21-06-2015 01:51:00.000.000                       14804.5                       16066.2                       15224.8                       15585.7                       14611.8                       15602.0                       6583.93                       12750.3                       14780.1
21-06-2015 01:52:00.000.000                       14754.9                       16111.5                       15324.8                       15587.5                       14757.5                       15892.6                       6547.30                       12792.7                       14910.2
21-06-2015 01:53:00.000.000                       14823.5                       16105.8                       15277.6                       15587.9                       14801.0                       15892.2                       6567.45                       12790.0                       14886.1
21-06-2015 01:54:00.000.000                       14866.7                       16157.9                       15388.5                       15632.2                       14802.3                       15762.0                       6569.13                       12811.6                       14887.6
21-06-2015 01:55:00.000.000                       14910.3                       16179.6                       15350.2                       15648.9                       14800.9                       15835.2                       6604.82                       12879.7                       14948.0
21-06-2015 01:56:00.000.000                       14891.6                       16260.0                       15344.8                       15612.9                       14889.7                       15875.7                       6634.41                       12875.0                       14949.3
21-06-2015 01:57:00.000.000                       14868.3                       16183.5                       15388.0                       15587.8                       14842.9                       15892.1                       6632.84                       12877.3                       14906.0
21-06-2015 01:58:00.000.000                       14932.9                       16335.2                       15415.4                       15605.0                       14950.2                       15942.4                       6635.01                       12837.0                       14944.9
21-06-2015 01:59:00.000.000                       14999.7                       16318.6                       15472.8                       15740.9                       15086.6                       16040.5                       6612.02                       12920.5                       15168.7
21-06-2015 02:00:00.000.000                       15065.0                       16535.4                       15475.0                       15804.3                       15064.4                       16110.9                       6677.58                       12876.8                       15080.5
21-06-2015 02:01:00.000.000                       15044.6                       16452.4                       15495.8                       15716.1                       15128.1                       16109.4                       6709.13                       12917.8                       15125.0
21-06-2015 02:02:00.000.000                       15078.3                       16625.9                       15558.3                       15885.7                       15143.6                       16132.8                       6731.54                       12899.8                       15156.1
21-06-2015 02:03:00.000.000                       15172.2                       16589.0                       15537.9                       15891.1                       15108.7                       16144.9                       6764.71                       13006.9                       15211.9
21-06-2015 02:04:00.000.000                       15083.3                       16726.0                       15628.5                       16024.4                       15241.1                       16193.1                       6754.03                       13050.1                       15279.9
21-06-2015 02:05:00.000.000                       15286.5                       16709.4                       15560.3                       15990.9                       15332.5                       16238.8                       6752.82                       13005.4                       15306.7
21-06-2015 02:06:00.000.000                       15258.4                       16753.5                       15670.7                       16026.6                       15240.7                       16186.1                       6806.83                       13071.1                       15342.0
21-06-2015 02:07:00.000.000                       15326.5                       16891.6                       15734.6                       16069.4                       15370.6                       16269.4                       6774.06                       13137.5                       15426.9
21-06-2015 02:08:00.000.000                       15355.1                       16840.4                       15897.9                       16115.2                       15311.5                       16471.8                       6784.47                       13173.3                       15474.9
21-06-2015 02:09:00.000.000                       15411.3                       16945.6                       15846.9                       16140.7                       15436.8                       16430.0                       6807.34                       13117.4                       15473.1
21-06-2015 02:10:00.000.000                       15437.5                       16865.5                       15897.4                       16160.2                       15370.4                       16434.7                       6873.24                       13137.3                       15476.1
21-06-2015 02:11:00.000.000                       15478.9                       16947.2                       16007.0                       16298.8                       15482.0                       16540.5                       6927.44                       13138.3                       15628.1
21-06-2015 02:12:00.000.000                       15523.7                       16921.4                       16028.3                       16294.3                       15416.1                       16685.4                       6888.15                       13215.0                       15518.1
21-06-2015 02:13:00.000.000                       15503.1                       16947.8                       16008.8                       16297.2                       15457.9                       16620.8                       6871.90                       13204.0                       15605.8
21-06-2015 02:14:00.000.000                       15500.8                       16949.9                       16000.7                       16436.1                       15456.4                       16678.2                       6935.53                       13310.4                       15651.4
21-06-2015 02:15:00.000.000                       15500.7                       17040.8                       16148.7                       16479.1                       15609.1                       16817.3                       6919.89                       13322.5                       15689.9
21-06-2015 02:16:00.000.000                       15674.9                       17042.5                       16166.7                       16626.7                       15631.3                       16845.2                       6949.15                       13377.4                       15736.0
21-06-2015 02:17:00.000.000                       15787.7                       17077.4                       16162.9                       16655.5                       15742.0                       16897.8                       7035.48                       13400.3                       15892.7
21-06-2015 02:18:00.000.000                       15817.3                       17009.4                       16291.9                       16794.7                       15776.2                       16922.9                       6972.62                       13423.3                       15876.4
21-06-2015 02:19:00.000.000                       15808.5                       17078.3                       16358.1                       16737.7                       15785.7                       16813.9                       7091.31                       13510.1                       15933.7
21-06-2015 02:20:00.000.000                       15830.4                       17010.4                       16298.0                       16899.8                       15654.5                       16896.4                       7090.50                       13490.0                       15889.2
21-06-2015 02:21:00.000.000                       15849.5                       17141.5                       16485.8                       16763.3                       15782.6                       16867.5                       7090.48                       13552.2                       16044.2
21-06-2015 02:22:00.000.000                       15902.0                       17484.1                       16530.3                       16900.6                       15818.3                       16897.1                       7074.64                       13510.8                       16029.1
21-06-2015 02:23:00.000.000                       16003.7                       17307.9                       16459.8                       16929.6                       15873.1                       16924.9                       7089.60                       13531.6                       16083.8
21-06-2015 02:24:00.000.000                       15981.6                       17173.5                       16489.2                       16873.5                       15960.5                       16897.5                       7197.99                       13574.6                       16040.9
